,CD_GEOCODM,NM_MUNICIP,LONG,LAT,ALT,geopoint
5346,520425,CACHOEIRA DOURADA,"-49,4709176635814","-18,4890356139803","450,164716","-18.4890356139803,-49.4709176635814"
5347,520430,CA�U,"-51,13352861362","-18,5630506239039","519,117943","-18.5630506239039,-51.13352861362"
5348,520440,CAIAP�NIA,"-51,8094797771314","-16,9534576703657","709,818782","-16.9534576703657,-51.8094797771314"
5349,520450,CALDAS NOVAS,"-48,621197474689","-17,7435388676728","689,068647","-17.7435388676728,-48.621197474689"
5350,520455,CALDAZINHA,"-49,0033734590288","-16,7147769438059","853,853324","-16.7147769438059,-49.0033734590288"
5351,520460,CAMPESTRE DE GOI�S,"-49,6955342614038","-16,7623092239645","642,785769","-16.7623092239645,-49.6955342614038"
5352,520465,CAMPINA�U,"-48,5698343277658","-13,7863485878978","692,80503","-13.7863485878978,-48.5698343277658"
5353,520470,CAMPINORTE,"-49,1563472947914","-14,3105979559882","542,268975","-14.3105979559882,-49.1563472947914"
5354,520480,CAMPO ALEGRE DE GOI�S,"-47,7782251013376","-17,6405551366126","880,709023","-17.6405551366126,-47.7782251013376"
5355,520485,CAMPO LIMPO DE GOI�S,"-49,0899365208448","-16,2986230067008","877,857418","-16.2986230067008,-49.0899365208448"
5356,520490,CAMPOS BELOS,"-46,7707832966078","-13,0367239866584","624,801865","-13.0367239866584,-46.7707832966078"
5357,520495,CAMPOS VERDES,"-49,6632651125087","-14,2732669562185","397,421323","-14.2732669562185,-49.6632651125087"
5358,520500,CARMO DO RIO VERDE,"-49,7028649780144","-15,3577136637698","592,441862","-15.3577136637698,-49.7028649780144"
5359,520505,CASTEL�NDIA,"-50,2292504517447","-18,0898452373216","472,405501","-18.0898452373216,-50.2292504517447"
5360,520510,CATAL�O,"-47,9477032172158","-18,1695733634179","853,304574","-18.1695733634179,-47.9477032172158"
5361,520520,CATURA�,"-49,5028529990414","-16,4467615884306","789,505276","-16.4467615884306,-49.5028529990414"
5362,520530,CAVALCANTE,"-47,463436194172","-13,7992785141945","833,663365","-13.7992785141945,-47.463436194172"
5363,520540,CERES,"-49,6033462318308","-15,3070283354002","591,558278","-15.3070283354002,-49.6033462318308"
5364,520545,CEZARINA,"-49,7731689820683","-16,9677922829026","587,303201","-16.9677922829026,-49.7731689820683"
5365,520547,CHAPAD�O DO C�U,"-52,6708005984179","-18,3940322027156","833,206537","-18.3940322027156,-52.6708005984179"
5366,520549,CIDADE OCIDENTAL,"-47,9371306539447","-16,1109591976501","975,958522","-16.1109591976501,-47.9371306539447"
5367,520551,COCALZINHO DE GOI�S,"-48,768967447569","-15,7817370135149","1135,069417","-15.7817370135149,-48.768967447569"
5368,520552,COLINAS DO SUL,"-48,0768431325587","-14,1501851952808","534,505484","-14.1501851952808,-48.0768431325587"
5369,520570,C�RREGO DO OURO,"-50,5558190730691","-16,2953575521383","553,170872","-16.2953575521383,-50.5558190730691"
5370,520580,CORUMB� DE GOI�S,"-48,8103450571615","-15,9279051540032","1001,549893","-15.9279051540032,-48.8103450571615"
5371,520590,CORUMBA�BA,"-48,5561020698988","-18,1369060848451","611,478774","-18.1369060848451,-48.5561020698988"
5372,520620,CRISTALINA,"-47,6068175922326","-16,7694336631642","1216,725605","-16.7694336631642,-47.6068175922326"
5373,520630,CRISTIAN�POLIS,"-48,7122976533102","-17,1955889543854","826,494379","-17.1955889543854,-48.7122976533102"
5374,520640,CRIX�S,"-49,9672039392423","-14,5375902550292","363,070122","-14.5375902550292,-49.9672039392423"
5375,520650,CROM�NIA,"-49,3805054797548","-17,2818549268211","679,070087","-17.2818549268211,-49.3805054797548"
5376,520660,CUMARI,"-48,1566767810345","-18,2613822982099","725,301533","-18.2613822982099,-48.1566767810345"
5377,520670,DAMIAN�POLIS,"-46,1735358095694","-14,5574350508893","766,149063","-14.5574350508893,-46.1735358095694"
5378,520680,DAMOL�NDIA,"-49,3611056454839","-16,254801619746","851,119287","-16.254801619746,-49.3611056454839"
5379,520690,DAVIN�POLIS,"-47,5593683925586","-18,1585643378909","761,00614","-18.1585643378909,-47.5593683925586"
5380,520710,DIORAMA,"-51,258893073177","-16,2317085200356","505,51169","-16.2317085200356,-51.258893073177"
5381,520725,DOVERL�NDIA,"-52,3139804233096","-16,7210370624643","514,062073","-16.7210370624643,-52.3139804233096"
5382,520735,EDEALINA,"-49,6646951088956","-17,4228916982466","548,515619","-17.4228916982466,-49.6646951088956"
5383,520740,ED�IA,"-49,9344239559036","-17,3380800331194","569,554393","-17.3380800331194,-49.9344239559036"
5384,520750,ESTRELA DO NORTE,"-49,0734010835998","-13,8670273952048","466,621789","-13.8670273952048,-49.0734010835998"
5385,520753,FAINA,"-50,3687036599486","-15,4428687832321","368,058336","-15.4428687832321,-50.3687036599486"
5386,520760,FAZENDA NOVA,"-50,7873644001456","-16,1775143289682","481,25064","-16.1775143289682,-50.7873644001456"
5387,520780,FIRMIN�POLIS,"-50,3036343394174","-16,5764612335216","682,219345","-16.5764612335216,-50.3036343394174"
5388,520790,FLORES DE GOI�S,"-47,0450829249731","-14,4501741366926",443,"-14.4501741366926,-47.0450829249731"
5389,520800,FORMOSA,"-47,3358155764676","-15,540944627683","923,43017","-15.540944627683,-47.3358155764676"
5390,520810,FORMOSO,"-48,8880896723124","-13,6557801485826","360,894832","-13.6557801485826,-48.8880896723124"
5391,520815,GAMELEIRA DE GOI�S,"-48,6457054930611","-16,4827366321438","978,759299","-16.4827366321438,-48.6457054930611"
5392,520830,DIVIN�POLIS DE GOI�S,"-46,3938887513768","-13,2968133668957","618,666416","-13.2968133668957,-46.3938887513768"
5393,520840,GOIAN�POLIS,"-49,0173421790322","-16,5006821667021","991,579602","-16.5006821667021,-49.0173421790322"
5394,520850,GOIANDIRA,"-48,0884713741385","-18,1326246743773","826,265342","-18.1326246743773,-48.0884713741385"
5395,520860,GOIAN�SIA,"-49,1158101507745","-15,3222887524883","627,178622","-15.3222887524883,-49.1158101507745"
5396,520870,GOI�NIA,"-49,2558142758158","-16,6733097738389","753,922667","-16.6733097738389,-49.2558142758158"
5397,520880,GOIANIRA,"-49,4287772736105","-16,5031915591775","787,411073","-16.5031915591775,-49.4287772736105"
5398,520890,GOI�S,"-50,1413841443018","-15,9357427010732","498,567817","-15.9357427010732,-50.1413841443018"
5399,520910,GOIATUBA,"-49,3666434695635","-18,0106332403567","802,512575","-18.0106332403567,-49.3666434695635"
5400,520915,GOUVEL�NDIA,"-50,1379987972883","-18,4382785343916","452,533205","-18.4382785343916,-50.1379987972883"
5401,520920,GUAP�,"-49,5367333643017","-16,8313227580374","718,463742","-16.8313227580374,-49.5367333643017"
5402,520929,GUARA�TA,"-50,0317779844947","-15,6294278846087","655,768274","-15.6294278846087,-50.0317779844947"
5403,520940,GUARANI DE GOI�S,"-46,4803757074661","-13,9389114968643","515,819329","-13.9389114968643,-46.4803757074661"
5404,520945,GUARINOS,"-49,701188130376","-14,7337403887433","410,342768","-14.7337403887433,-49.701188130376"
5405,520960,HEITORA�,"-49,8293395924293","-15,7202164219726","657,521791","-15.7202164219726,-49.8293395924293"
5406,520970,HIDROL�NDIA,"-49,2297840436263","-16,9609447714124","822,75026","-16.9609447714124,-49.2297840436263"
5407,520980,HIDROLINA,"-49,4598974466229","-14,7276582892576","614,845901","-14.7276582892576,-49.4598974466229"
5408,520990,IACIARA,"-46,631967793967","-14,1008175253214","582,394445","-14.1008175253214,-46.631967793967"
5409,520993,INACIOL�NDIA,"-49,9875784505859","-18,4863548297405","449,413387","-18.4863548297405,-49.9875784505859"
5410,520995,INDIARA,"-49,9890531950284","-17,1372613100831","600,301844","-17.1372613100831,-49.9890531950284"
5411,521000,INHUMAS,"-49,5002245065799","-16,3599604740426","785,702034","-16.3599604740426,-49.5002245065799"
5412,521010,IPAMERI,"-48,1586676782561","-17,7221768121534","773,979641","-17.7221768121534,-48.1586676782561"
5413,521015,IPIRANGA DE GOI�S,"-49,66740512088","-15,1720118940703","580,187406","-15.1720118940703,-49.66740512088"
5414,521020,IPOR�,"-51,1195950892158","-16,4400026707082","582,458927","-16.4400026707082,-51.1195950892158"
5415,521030,ISRAEL�NDIA,"-50,9034397149487","-16,3128012448907","393,472372","-16.3128012448907,-50.9034397149487"
5416,521040,ITABERA�,"-49,8034793740214","-16,0211302070027","722,238295","-16.0211302070027,-49.8034793740214"
5417,521056,ITAGUARI,"-49,6097600443052","-15,909093570601","641,688797","-15.909093570601,-49.6097600443052"
5418,521060,ITAGUARU,"-49,6320512064225","-15,7637943882195","798,493152","-15.7637943882195,-49.6320512064225"
5419,521080,ITAJ�,"-51,5446839593993","-19,0622350464855","437,954187","-19.0622350464855,-51.5446839593993"
5420,521090,ITAPACI,"-49,5541561136132","-14,9504032179387","566,931028","-14.9504032179387,-49.5541561136132"
5421,521100,ITAPIRAPU�,"-50,6091628273289","-15,818862494157","368,110457","-15.818862494157,-50.6091628273289"
5422,521120,ITAPURANGA,"-49,9444934167904","-15,5623312456785","646,515276","-15.5623312456785,-49.9444934167904"
5423,521130,ITARUM�,"-51,348889900608","-18,7616602284422","501,015837","-18.7616602284422,-51.348889900608"
5424,521140,ITAU�U,"-49,6011340852738","-16,2033472311635","840,262673","-16.2033472311635,-49.6011340852738"
5425,521150,ITUMBIARA,"-49,220870075038","-18,4176824715349","461,810283","-18.4176824715349,-49.220870075038"
5426,521160,IVOL�NDIA,"-50,7947013663514","-16,6034027617672","629,337663","-16.6034027617672,-50.7947013663514"
5427,521170,JANDAIA,"-50,1480076360605","-17,0494211395482","592,683922","-17.0494211395482,-50.1480076360605"
5428,521180,JARAGU�,"-49,3301439342367","-15,7531137828783","658,436107","-15.7531137828783,-49.3301439342367"
5429,521190,JATA�,"-51,7208180375605","-17,8862323338404","724,000664","-17.8862323338404,-51.7208180375605"
5430,521200,JAUPACI,"-50,9517191424873","-16,1780359315247","354,968409","-16.1780359315247,-50.9517191424873"
5431,521205,JES�POLIS,"-49,3762189275273","-15,9515976078315","700,931604","-15.9515976078315,-49.3762189275273"
5432,521210,JOVI�NIA,"-49,629939809589","-17,8071094520717","847,745944","-17.8071094520717,-49.629939809589"
5433,521220,JUSSARA,"-50,8661265899967","-15,8663489233335","326,786504","-15.8663489233335,-50.8661265899967"
5434,521225,LAGOA SANTA,"-51,4046158469187","-19,1836069808173","390,848551","-19.1836069808173,-51.4046158469187"
5435,521230,LEOPOLDO DE BULH�ES,"-48,7464523369563","-16,6189649329137","1028,695285","-16.6189649329137,-48.7464523369563"
5436,521250,LUZI�NIA,"-47,9557200567595","-16,258541","957,525401","-16.258541,-47.9557200567595"
5437,521260,MAIRIPOTABA,"-49,5008802854382","-17,2973954688586","654,461662","-17.2973954688586,-49.5008802854382"
5438,521270,MAMBA�,"-46,1139474126744","-14,4875342642037","721,496198","-14.4875342642037,-46.1139474126744"
5439,521280,MARA ROSA,"-49,1798231432443","-14,00856889567","514,687649","-14.00856889567,-49.1798231432443"
5440,521290,MARZAG�O,"-48,6371735788677","-17,9816102558339","615,528398","-17.9816102558339,-48.6371735788677"
5441,521295,MATRINCH�,"-50,7464743435777","-15,437188316997","337,373758","-15.437188316997,-50.7464743435777"
5442,521300,MAURIL�NDIA,"-50,3389113971531","-17,9720829886462","468,693424","-17.9720829886462,-50.3389113971531"
5443,521305,MIMOSO DE GOI�S,"-48,1632731159377","-15,0592934915695","677,897575","-15.0592934915695,-48.1632731159377"
5444,521308,MINA�U,"-48,2239076238009","-13,5350936496024","365,764509","-13.5350936496024,-48.2239076238009"
